00:24:03 | INFO     | docmind | Environment loaded
00:24:19 | INFO     | docmind | Environment loaded
00:24:51 | INFO     | docmind | All modules imported successfully
00:24:51 | INFO     | docmind | All modules imported successfully
00:25:18 | INFO     | docmind | Environment loaded
00:25:18 | INFO     | docmind | All modules imported successfully
00:25:18 | INFO     | docmind | New file uploaded: Nikhil Keshri.pdf (149834 bytes)
00:25:18 | DEBUG    | docmind | Saved to temp: C:\Users\Nikhil\AppData\Local\Temp\tmp6ba2qlsr.pdf
00:25:18 | INFO     | docmind | Loading and splitting document…
00:25:19 | INFO     | docmind | Split into 6 chunks in 0.54s
00:25:19 | INFO     | docmind | Building FAISS vector store…
00:25:19 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
00:25:19 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
00:25:19 | DEBUG    | httpcore.connection | connect_tcp.started host='huggingface.co' port=443 local_address=None timeout=10 socket_options=None
00:25:19 | DEBUG    | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000253B161CCA0>
00:25:19 | DEBUG    | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000253B159D340> server_hostname='huggingface.co' timeout=10
00:25:19 | DEBUG    | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x00000253B161CC70>
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.complete
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.complete
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'282'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 25 Mar 2026 18:54:38 GMT'), (b'Location', b'/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json?%2Fsentence-transformers%2Fall-MiniLM-L6-v2%2Fresolve%2Fmain%2Fmodules.json=&etag=%22952a9b81c0bfd99800fabf352f69c7ccd46c5e43%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-69c42f6e-51f6f45e16b46917798bc3a5;329990ee-8dfb-4e53-9058-3b4c9fe55185'), (b'RateLimit', b'"resolvers";r=4999;t=194'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'c9745ed1d9f207416be6d2e6f8de32d1f16199bf'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'HIT'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'modules.json; filename="modules.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"952a9b81c0bfd99800fabf352f69c7ccd46c5e43"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 cadc06778fdff1ffd1316b6a20a241bc.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'HYD57-P4'), (b'X-Amz-Cf-Id', b'5GXX3Igyzq8GRGUlJ7IHneie897QXW9hZhoo1a0lH2xN8-chG20sWA==')])
00:25:19 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
00:25:19 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | receive_response_body.complete
00:25:19 | DEBUG    | httpcore.http11 | response_closed.started
00:25:19 | DEBUG    | httpcore.http11 | response_closed.complete
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.complete
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.complete
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'349'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 25 Mar 2026 18:28:10 GMT'), (b'ETag', b'"952a9b81c0bfd99800fabf352f69c7ccd46c5e43"'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-69c4293a-6e9b113a67c7c65222d3ec5f;bce516e8-d035-4d6b-b834-455acbb6e348'), (b'RateLimit', b'"resolvers";r=4998;t=282'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'c9745ed1d9f207416be6d2e6f8de32d1f16199bf'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'HIT'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'modules.json; filename="modules.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'Vary', b'Origin'), (b'X-Cache', b'Hit from cloudfront'), (b'Via', b'1.1 cadc06778fdff1ffd1316b6a20a241bc.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'HYD57-P4'), (b'X-Amz-Cf-Id', b'_QEAytZhyh4u9NFpMqwEjfrRvHedo5nbJkiOLyvDOWqMRYRjPRdH5A=='), (b'Age', b'1588')])
00:25:19 | INFO     | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
00:25:19 | DEBUG    | httpcore.http11 | receive_response_body.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | receive_response_body.complete
00:25:19 | DEBUG    | httpcore.http11 | response_closed.started
00:25:19 | DEBUG    | httpcore.http11 | response_closed.complete
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_headers.complete
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | send_request_body.complete
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.started request=<Request [b'HEAD']>
00:25:19 | DEBUG    | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'Content-Type', b'text/plain; charset=utf-8'), (b'Content-Length', b'324'), (b'Connection', b'keep-alive'), (b'Date', b'Wed, 25 Mar 2026 18:54:39 GMT'), (b'Location', b'/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json?%2Fsentence-transformers%2Fall-MiniLM-L6-v2%2Fresolve%2Fmain%2Fconfig_sentence_transformers.json=&etag=%22fd1b291129c607e5d49799f87cb219b27f98acdf%22'), (b'X-Powered-By', b'huggingface-moon'), (b'X-Request-Id', b'Root=1-69c42f6f-5f8fdb6a7f7c145c45e9bd2c;b19ca33b-a9da-450c-944a-72d3008b5077'), (b'RateLimit', b'"resolvers";r=4998;t=193'), (b'RateLimit-Policy', b'"fixed window";"resolvers";q=5000;w=300'), (b'cross-origin-opener-policy', b'same-origin'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Access-Control-Max-Age', b'86400'), (b'Access-Control-Allow-Origin', b'https://huggingface.co'), (b'Vary', b'Origin, Accept'), (b'Access-Control-Expose-Headers', b'X-Repo-Commit,X-Request-Id,X-Error-Code,X-Error-Message,X-Total-Count,ETag,Link,Accept-Ranges,Content-Range,X-Linked-Size,X-Linked-ETag,X-Xet-Hash'), (b'X-Repo-Commit', b'c9745ed1d9f207416be6d2e6f8de32d1f16199bf'), (b'Accept-Ranges', b'bytes'), (b'X-Hub-Cache', b'HIT'), (b'Content-Disposition', b'inline; filename*=UTF-8\'\'config_sentence_transformers.json; filename="config_sentence_transformers.json";'), (b'Content-Security-Policy', b"default-src 'none'; sandbox"), (b'X-Linked-ETag', b'"fd1b291129c607e5d49799f87cb219b27f98acdf"'), (b'X-Cache', b'Miss from cloudfront'), (b'Via', b'1.1 cadc06778fdff1ffd1316b6a20a241bc.cloudfront.net (CloudFront)'), (b'X-Amz-Cf-Pop', b'HYD57-P4'), (b'X-Amz-Cf-Id', b'ZL7GeOxc789tAWZ9UN5mGBrhu0z0l0A6_n8nbDnooaRii_Hpu5bTbQ==')])
